,Trial,BPM,GestureSize,MinAngleRegionTwo
237,38.0,120.0,M,81.2729
238,39.0,120.0,M,77.60589
239,40.0,120.0,M,75.07164
240,1.0,80.0,L,70.24191
241,2.0,80.0,L,71.86749
242,3.0,80.0,L,73.16824
243,4.0,80.0,L,65.90307
244,5.0,80.0,L,76.42599
245,6.0,80.0,L,74.70424
246,7.0,80.0,L,75.45078000000002
247,8.0,80.0,L,69.52067
248,9.0,80.0,L,74.91311
249,10.0,80.0,L,79.02254
250,11.0,80.0,L,66.76187
251,12.0,80.0,L,74.26165
252,13.0,80.0,L,71.43626
253,14.0,80.0,L,70.66795
254,15.0,80.0,L,79.0079
255,16.0,80.0,L,71.39157
256,17.0,80.0,L,78.47399
257,18.0,80.0,L,75.1674
258,19.0,80.0,L,79.65488
259,20.0,80.0,L,74.39633
260,21.0,80.0,L,63.33582
261,22.0,80.0,L,75.61910999999998
262,23.0,80.0,L,58.72804
263,24.0,80.0,L,61.03999
264,25.0,80.0,L,66.02476999999999
265,26.0,80.0,L,62.9449
266,27.0,80.0,L,68.1403
267,28.0,80.0,L,64.9454
268,29.0,80.0,L,66.71131
269,30.0,80.0,L,71.42891999999998
270,31.0,80.0,L,75.26205
271,32.0,80.0,L,65.50216
272,33.0,80.0,L,55.90191
273,34.0,80.0,L,66.64636
274,35.0,80.0,L,69.16563000000001
275,36.0,80.0,L,61.87648000000001
276,37.0,80.0,L,70.14674000000001
277,38.0,80.0,L,72.63395
278,39.0,80.0,L,60.45179
279,40.0,80.0,L,68.23599
280,1.0,100.0,L,74.37465999999998
281,2.0,100.0,L,77.66587
282,3.0,100.0,L,77.71656
283,4.0,100.0,L,73.3083
284,5.0,100.0,L,69.17164
285,6.0,100.0,L,70.68030999999998
286,7.0,100.0,L,77.38136999999998
287,8.0,100.0,L,77.87965
288,9.0,100.0,L,75.47118
289,10.0,100.0,L,75.71574
290,11.0,100.0,L,72.62646
291,12.0,100.0,L,73.07538000000002
292,13.0,100.0,L,80.84166
293,14.0,100.0,L,71.83041
294,15.0,100.0,L,71.03328
295,16.0,100.0,L,68.11086
296,17.0,100.0,L,72.80015999999998
297,18.0,100.0,L,73.98058
298,19.0,100.0,L,61.34691
299,20.0,100.0,L,65.84543000000001
300,21.0,100.0,L,77.46880999999998
301,22.0,100.0,L,78.05906
302,23.0,100.0,L,74.23572
303,24.0,100.0,L,64.86395999999999
304,25.0,100.0,L,74.57661
