,BPM,GestureSize,TotalDistanceCoveredInRegionOne,Trial
273,80.0,L,0.5432808000000001,34.0
274,80.0,L,0.5520174,35.0
275,80.0,L,0.6141453,36.0
276,80.0,L,0.5328921999999999,37.0
277,80.0,L,0.5889435000000001,38.0
278,80.0,L,0.5460951,39.0
279,80.0,L,0.5420748000000001,40.0
280,100.0,L,0.6787211999999999,1.0
281,100.0,L,0.6967083000000001,2.0
282,100.0,L,0.7264453000000001,3.0
283,100.0,L,0.7234508000000001,4.0
284,100.0,L,0.7210653,5.0
285,100.0,L,0.7491838000000001,6.0
286,100.0,L,0.7297241,7.0
287,100.0,L,0.7839546,8.0
288,100.0,L,0.7994264,9.0
289,100.0,L,0.6396849,10.0
290,100.0,L,0.7593356,11.0
291,100.0,L,0.6397265000000001,12.0
292,100.0,L,0.6971588000000001,13.0
293,100.0,L,0.7042109000000001,14.0
294,100.0,L,0.6454404,15.0
295,100.0,L,0.6389361,16.0
296,100.0,L,0.7350875,17.0
297,100.0,L,0.701218,18.0
298,100.0,L,0.6900501,19.0
299,100.0,L,0.7201398,20.0
300,100.0,L,0.5802223000000001,21.0
301,100.0,L,0.5129805000000001,22.0
302,100.0,L,0.5095638,23.0
303,100.0,L,0.5138263,24.0
304,100.0,L,0.491828,25.0
305,100.0,L,0.4860938,26.0
306,100.0,L,0.4616332,27.0
307,100.0,L,0.4405416,28.0
308,100.0,L,0.4670193,29.0
309,100.0,L,0.4736899000000001,30.0
310,100.0,L,0.4461669,31.0
311,100.0,L,0.4236004,32.0
312,100.0,L,0.4593196,33.0
313,100.0,L,0.4223634,34.0
314,100.0,L,0.4406152,35.0
315,100.0,L,0.4584475000000001,36.0
316,100.0,L,0.42693,37.0
317,100.0,L,0.4195937,38.0
318,100.0,L,0.4616955,39.0
319,100.0,L,0.444811,40.0
320,120.0,L,0.6880403,1.0
321,120.0,L,0.8007088000000001,2.0
322,120.0,L,0.8031955,3.0
323,120.0,L,0.8030712,4.0
324,120.0,L,0.6936813000000001,5.0
325,120.0,L,0.7248584,6.0
326,120.0,L,0.6931921,7.0
327,120.0,L,0.7322104,8.0
328,120.0,L,0.5773156,9.0
329,120.0,L,0.6589626000000001,10.0
330,120.0,L,0.6309989,11.0
331,120.0,L,0.6703988000000001,12.0
332,120.0,L,0.6446085,13.0
333,120.0,L,0.571237,14.0
334,120.0,L,0.6670169,15.0
335,120.0,L,0.5161135,16.0
336,120.0,L,0.5641811,17.0
337,120.0,L,0.5640841,18.0
338,120.0,L,0.5469519,19.0
339,120.0,L,0.6545629,20.0
340,120.0,L,0.4556913,21.0
341,120.0,L,0.4809991,22.0
342,120.0,L,0.5005701,23.0
343,120.0,L,0.4646837,24.0
344,120.0,L,0.4768178,25.0
345,120.0,L,0.4951925999999999,26.0
346,120.0,L,0.4519645000000001,27.0
347,120.0,L,0.4625573,28.0
348,120.0,L,0.4696135,29.0
349,120.0,L,0.4234218,30.0
350,120.0,L,0.3923454,31.0
351,120.0,L,0.424558,32.0
352,120.0,L,0.4157998,33.0
353,120.0,L,0.4929422000000001,34.0
354,120.0,L,0.4856215,35.0
355,120.0,L,0.4800651,36.0
356,120.0,L,0.442439,37.0
357,120.0,L,0.4504666,38.0
358,120.0,L,0.3846636,39.0
359,120.0,L,0.445,40.0
