,Unnamed: 0,ID,GestureSize,Velocity_X,Velocity_Y,Velocity_Z,Position_X,Position_Y,Position_z,VelocityMagnitude,TimeRelativeToPrep,AngleToBP1,DistanceCoveredSoFar,Acceleration,BPM,Trial
7248,7310,221.52S80T20,S,-0.2617873,-0.6362284,-0.23677820000000002,0.54583,-0.5157304,0.06342462,0.7275872,0.06,-999.0,0.0,4.54365,80,40
7249,7311,221.54S80T20,S,-0.31936390000000003,-0.48927890000000007,-0.260276,0.5357677,-0.5242439,0.05542858,0.6396333000000001,0.08,-999.0,0.0,7.296461,80,40
7250,7312,221.56S80T20,S,-0.31936390000000003,-0.48927890000000007,-0.260276,0.5293804,-0.5340295,0.05022306,0.6396333000000001,0.1,-999.0,0.0,7.296461,80,40
7251,7313,221.58S80T20,S,-0.36909369999999997,-0.3079515,-0.2632486,0.5247050999999999,-0.5269643,0.04812338,0.5480548000000001,0.12,-999.0,0.0,9.787486,80,40
7252,7314,221.6S80T20,S,-0.4144709,-0.03112462,-0.2493335,0.5123664000000001,-0.5193823000000001,0.04158139,0.48468770000000005,0.14,-999.0,0.0,12.07808,80,40
7253,7315,221.62S80T20,S,-0.4272021,0.29000690000000007,-0.224539,0.5007355,-0.5022267,0.03636439,0.5630483000000001,0.16,53.38626,0.0213731,14.921660000000001,80,40
7254,7316,221.64S80T20,S,-0.3972368,0.6762438000000001,-0.19662190000000002,0.49105519999999997,-0.47272349999999996,0.03236429,0.808556,0.18,63.5435,0.05268037,13.68048,80,40
7255,7317,221.66S80T20,S,-0.3290047,0.9732016,-0.1837302,0.4842348,-0.4380844,0.02853785,1.04361,0.2,69.12231,0.08819136,9.124203999999999,80,40
7256,7318,221.68S80T20,S,-0.3290047,0.9732016,-0.1837302,0.47765459999999993,-0.41862029999999995,0.02486324,1.04361,0.22,69.07486999999999,0.1090636,9.124203999999999,80,40
7257,7319,221.7S80T20,S,-0.2546076,1.125809,-0.1818839,0.47958909999999993,-0.403829,0.02451143,1.168483,0.24,72.26488,0.12398499999999998,5.04173,80,40
7258,7320,221.72S80T20,S,-0.1823878,1.181397,-0.1855268,0.47668699999999997,-0.3709329,0.02027411,1.2097040000000001,0.26,74.36076,0.1572796,2.9208369999999997,80,40
7259,7321,221.74S80T20,S,-0.11198239999999998,1.154125,-0.1951731,0.47539079999999995,-0.34094440000000004,0.01543026,1.175856,0.28,75.75865,0.1876844,3.978731,80,40
7260,7322,221.76S80T20,S,-0.05807029,1.052008,-0.19778510000000002,0.4750549,-0.3159268,0.01063648,1.0720129999999999,0.3,76.59891999999999,0.2131594,6.135488,80,40
7261,7323,221.78S80T20,S,-0.05807029,1.052008,-0.19778510000000002,0.4738935,-0.2948866,0.006680778,1.0720129999999999,0.32,76.97204,0.23459970000000002,6.135488,80,40
7262,7324,221.82S80T20,S,0.0019329999999999998,0.6697553,-0.1266989,0.4757429,-0.2866689,0.0053697680000000005,0.6816366999999999,0.36,77.52073,0.24312440000000002,9.456056,80,40
7263,7325,221.88S80T20,S,0.01599973,0.20148229999999998,-0.004283648,0.47698209999999996,-0.2807084,0.007493889,0.20216189999999998,0.42,78.3678,0.24957220000000002,9.583312,80,40
