,Trial,BPM,GestureSize,MedianVelocityRegionOne,MedianVelocityRegionTwo,MeanVelocityRegionOne,MeanVelocityRegionTwo,RegionOneDistance,RegionTwoDistance,TotalRegionDistance,MaxAngleRegionOne,MaxAngleRegionTwo,MinAngleRegionTwo,MedianVelocityYRegionOne,MedianVelocityYRegionTwo,MeanVelocityYRegionOne,MeanVelocityYRegionTwo,TimeEndRegionOne,TimeEndRegionTwo,TimeStartRegionTwo,TimeDifferenceBetweenCollisions
98,20.0,120.0,S,1.2528015,0.66064455,0.7149433999999999,0.7149433999999999,0.347236,0.16932000000000005,0.516556,71.05769000000002,73.22726,68.80757,1.1102379999999998,-0.34346370000000004,1.0443288416666667,-0.3675012875,0.24000000000000002,0.4,0.26,111.11111111111109
99,21.0,120.0,S,0.9650395,0.5974503000000001,0.5007079285714287,0.5007079285714287,0.2451221,0.10410740000000003,0.3492295,81.39021,82.13356,75.30478000000002,0.9470457,-0.5675326,0.7744247958333336,-0.4529837414285714,0.26,0.38,0.28,113.2075471698113
100,22.0,120.0,S,1.03164055,0.3857142,0.4835796857142857,0.4835796857142857,0.2734035,0.1137496,0.3871531,77.52765,78.85852,77.71311,0.9644560999999999,-0.3306597,0.9436202333333332,-0.3690641685714285,0.24,0.36,0.26,111.11111111111109
101,23.0,120.0,S,0.9348636,0.5303339,0.5385609625000001,0.5385609625000001,0.30741890000000005,0.13222010000000006,0.4396390000000001,75.16628,75.92554,70.6443,0.86748095,-0.4756763,0.8320882183333332,-0.417282265,0.26,0.39999999999999997,0.27999999999999997,107.14285714285715
102,24.0,120.0,S,0.9998538,0.3791509,0.4682160142857143,0.4682160142857143,0.2662625,0.10841079999999996,0.3746733,79.38355,79.59589,76.56895,0.9200962,-0.3606675,0.8382989727272728,-0.3840262428571429,0.24,0.38,0.28,107.14285714285715
103,25.0,120.0,S,1.07599625,0.50686635,0.46104325125,0.46104325125,0.2575942,0.1086954,0.3662896,80.65919,81.24339,76.43467,1.04796435,-0.41381720000000005,0.96836513,-0.30736478875,0.19999999999999998,0.38,0.24000000000000002,107.14285714285715
104,26.0,120.0,S,1.0888790000000002,0.6415571,0.5465194333333333,0.5465194333333333,0.2237264,0.09594129999999998,0.3196677,77.85008,80.77161,79.4397,1.01461,-0.6129765500000001,0.8492746777777778,-0.5217763249999999,0.26,0.36,0.28,120.0
105,27.0,120.0,S,1.0188045,0.407499,0.44525996166666665,0.44525996166666665,0.2424124,0.08861730000000001,0.3310297,79.51941,80.47935,79.90923000000002,0.9602299999999999,-0.31297,0.9472830200000002,-0.26452220000000004,0.2,0.32,0.24,120.0
106,28.0,120.0,S,0.9655676999999999,0.5016872,0.496505908888889,0.496505908888889,0.2698866,0.11393260000000005,0.3838192,77.99605,79.83001999999998,75.98115,0.9132196,-0.399815,0.8309544666666665,-0.3536249555555556,0.24000000000000002,0.42,0.27999999999999997,109.09090909090908
107,29.0,120.0,S,0.9965051,0.5984254,0.5282800142857144,0.5282800142857144,0.2590307,0.10986789999999996,0.3688986,81.16841,81.63264000000002,78.56223,0.9303136,-0.5748800999999999,0.8627434181818182,-0.46580546,0.26,0.38,0.27999999999999997,120.0
