,ID,GestureSize,Velocity_X,Velocity_Y,Velocity_Z,Position_X,Position_Y,Position_z,VelocityMagnitude,TimeRelativeToPrep,AngleToBP1,DistanceCoveredSoFar,Acceleration,BPM,Trial
7564,370.76S100T7,S,0.02237521,-0.6197563,0.09209128,0.4864879,-0.3556267,0.04349315,0.6269604,0.58,79.37016,0.3204418,5.647074,100,7.0
7565,370.78S100T7,S,0.02237521,-0.6197563,0.09209128,0.4869354,-0.3680218,0.04533498,0.6269604,0.6,78.71869,0.332981,5.647074,100,7.0
7566,370.8S100T7,S,0.02101332,-0.7386134,0.07720929,0.4870889,-0.3781623,0.04488883,0.7429351,0.62,78.14633,0.3431324,4.832767,100,7.0
7567,370.82S100T7,S,0.03169885,-0.8827763,0.07227977,0.4882892,-0.4048697,0.04634298,0.8862975,0.64,76.39263,0.3699063,6.2734,100,7.0
7568,370.84S100T7,S,0.04731925,-1.042458,0.06346031,0.4901019,-0.4362477,0.0474479,1.04546,0.66,73.55494,0.4013561,4.516108,100,7.0
7569,370.86S100T7,S,0.04731925,-1.042458,0.06346031,0.4910483,-0.4570969,0.04871711,1.04546,0.68,70.46529,0.4222652,4.516108,100,7.0
7570,370.88S100T7,S,0.05536593,-1.119415,0.03460849,0.4918768,-0.4672597,0.04719258,1.121318,0.7,69.02145,0.4325751,3.058117,100,7.0
7571,370.9S100T7,S,0.06194392,-1.172792,-0.002253774,0.4937075,-0.4992407,0.04552981,1.174429,0.72,59.9206,0.4646516,1.81143,100,7.0
7572,370.92S100T7,S,0.05947195,-1.172761,-0.03965151,0.4952393,-0.5297005,0.04286972,1.174937,0.74,37.10476,0.4952657,1.89771,100,7.0
7573,370.94S100T7,S,0.05060431,-1.106364,-0.0742122,0.4963827,-0.5568252,0.03926726,1.110004,0.76,12.86683,0.5226524,4.986998,100,7.0
7574,372.54S100T8,S,-0.01886719,-0.6980567,-0.03152235,0.6049479,-0.4613054,0.08241817,0.6990227,0,-999,0,3.77798,100,8.0
7575,372.56S100T8,S,-0.01886719,-0.6980567,-0.03152235,0.6045706,-0.4752666,0.08178772,0.6990227,0.02,-999,0,3.77798,100,8.0
7576,372.58S100T8,S,-0.07886497,-0.7530092,-0.08506039,0.601351,-0.4823348,0.07833242,0.7618909,0.04,-999,0,3.562772,100,8.0
7577,372.6S100T8,S,-0.1411432,-0.7707521,-0.135021,0.5959945,-0.5027682,0.07301115,0.7951169,0.06,-999,0,3.11042,100,8.0
7578,372.62S100T8,S,-0.1925533,-0.7535642,-0.1848068,0.5895283,-0.5218862,0.06635306,0.7994306,0.08,-999,0,2.996675,100,8.0
7579,372.64S100T8,S,-0.2358433,-0.6860461,-0.223051,0.5822538,-0.5380333,0.05910431,0.7589684,0.1,-999,0,5.163498,100,8.0
7580,372.66S100T8,S,-0.2358433,-0.6860461,-0.223051,0.5775369,-0.5517542,0.05464329,0.7589684,0.12,-999,0,5.163498,100,8.0
7581,372.68S100T8,S,-0.288591,-0.5334966,-0.2496699,0.5733955,-0.5479318,0.05136997,0.6559256,0.14,-999,0,9.288383,100,8.0
7582,372.7S100T8,S,-0.3597839,-0.2333097,-0.2495595,0.5621009,-0.5462084,0.04439953,0.4961429,0.16,-999,0,14.70054,100,8.0
7583,372.72S100T8,S,-0.4226752,0.145262,-0.2208257,0.5493177,-0.5322409,0.03936528,0.4985171,0.18,-999,0.01959199,17.0267,100,8.0
7584,372.74S100T8,S,-0.4375136,0.5553485,-0.1758569,0.5371021,-0.5062717,0.03635213,0.7285299,0.2,64.15036,0.04844848,13.87466,100,8.0
7585,372.76S100T8,S,-0.4375136,0.5553485,-0.1758569,0.5283518,-0.4951647,0.03283499,0.7285299,0.22,59.36273,0.06301909,13.87466,100,8.0
7586,372.78S100T8,S,-0.3959746,0.8436123,-0.1321703,0.5277091,-0.476194,0.03465363,0.9412473,0.24,68.46563,0.08208762,10.60648,100,8.0
7587,372.8S100T8,S,-0.3251002,1.070824,-0.09679794,0.5210025,-0.4417988,0.0338267,1.123264,0.26,72.30688,0.1171403,8.001369,100,8.0
7588,372.82S100T8,S,-0.2415701,1.230679,-0.08974644,0.5167271,-0.4051701,0.03249355,1.257371,0.28,75.31232,0.1540418,5.402425,100,8.0
7589,372.84S100T8,S,-0.1543418,1.293442,-0.1108243,0.5145874,-0.369258,0.02987129,1.307324,0.3,77.54284,0.190113,3.078951,100,8.0
7590,372.86S100T8,S,-0.1543418,1.293442,-0.1108243,0.5115005,-0.3433892,0.0276548,1.307324,0.32,78.16058,0.2162595,3.078951,100,8.0
7591,372.88S100T8,S,-0.1043498,1.265256,-0.1308943,0.5129966,-0.3369683,0.02647555,1.276281,0.34,78.83517,0.2229569,3.764554,100,8.0
