,BPM,GestureSize,TotalDistanceCoveredBothRegions,TotalDistanceCoveredInRegionOne,TotalDistanceCoveredInRegionTwo,Trial
291,100.0,L,0.9109936,0.6397265000000001,0.27126709999999987,12.0
292,100.0,L,0.9835441,0.6971588000000001,0.28638529999999995,13.0
293,100.0,L,1.023366,0.7042109000000001,0.3191550999999999,14.0
294,100.0,L,0.9289557,0.6454404,0.2835153,15.0
295,100.0,L,0.8887834000000001,0.6389361,0.2498473000000001,16.0
296,100.0,L,1.055175,0.7350875,0.32008749999999997,17.0
297,100.0,L,0.9736631,0.701218,0.2724451,18.0
298,100.0,L,0.9675088,0.6900501,0.27745869999999995,19.0
299,100.0,L,1.014038,0.7201398,0.2938982,20.0
300,100.0,L,0.8069228,0.5802223000000001,0.22670049999999997,21.0
301,100.0,L,0.7213565,0.5129805000000001,0.2083759999999999,22.0
302,100.0,L,0.6947318,0.5095638,0.185168,23.0
303,100.0,L,0.7240880000000001,0.5138263,0.2102617000000001,24.0
304,100.0,L,0.7065504,0.491828,0.21472240000000004,25.0
305,100.0,L,0.7092568,0.4860938,0.223163,26.0
306,100.0,L,0.6195745,0.4616332,0.1579413,27.0
307,100.0,L,0.6020545,0.4405416,0.16151290000000007,28.0
308,100.0,L,0.664826,0.4670193,0.1978067,29.0
309,100.0,L,0.6755121000000001,0.4736899000000001,0.20182219999999995,30.0
310,100.0,L,0.6113914,0.4461669,0.16522450000000005,31.0
311,100.0,L,0.6307791,0.4236004,0.20717870000000005,32.0
312,100.0,L,0.6646907,0.4593196,0.20537109999999997,33.0
313,100.0,L,0.5716889,0.4223634,0.14932550000000006,34.0
314,100.0,L,0.6134607,0.4406152,0.17284549999999999,35.0
315,100.0,L,0.6629562,0.4584475000000001,0.20450869999999988,36.0
316,100.0,L,0.5874835999999999,0.42693,0.1605535999999999,37.0
317,100.0,L,0.6025571,0.4195937,0.18296339999999994,38.0
318,100.0,L,0.6837736,0.4616955,0.2220781,39.0
319,100.0,L,0.6446298,0.444811,0.19981880000000002,40.0
320,120.0,L,0.9643845,0.6880403,0.27634419999999993,1.0
321,120.0,L,1.107881,0.8007088000000001,0.3071721999999998,2.0
322,120.0,L,1.141953,0.8031955,0.33875750000000004,3.0
323,120.0,L,1.100206,0.8030712,0.29713480000000003,4.0
324,120.0,L,1.011629,0.6936813000000001,0.31794769999999983,5.0
325,120.0,L,1.039116,0.7248584,0.3142575999999999,6.0
326,120.0,L,0.9853069,0.6931921,0.2921148,7.0
327,120.0,L,1.057267,0.7322104,0.3250565999999999,8.0
328,120.0,L,0.8108983000000001,0.5773156,0.23358270000000003,9.0
329,120.0,L,0.9258311,0.6589626000000001,0.26686849999999995,10.0
330,120.0,L,0.9037017,0.6309989,0.2727028,11.0
331,120.0,L,0.8939027,0.6703988000000001,0.22350389999999998,12.0
332,120.0,L,0.8664016999999999,0.6446085,0.2217931999999999,13.0
333,120.0,L,0.8149013,0.571237,0.24366430000000006,14.0
334,120.0,L,0.9184427,0.6670169,0.2514257999999999,15.0
335,120.0,L,0.7289897,0.5161135,0.21287619999999996,16.0
336,120.0,L,0.7565890000000001,0.5641811,0.19240790000000008,17.0
337,120.0,L,0.7663468000000001,0.5640841,0.20226270000000013,18.0
338,120.0,L,0.7448958000000001,0.5469519,0.19794390000000006,19.0
339,120.0,L,0.8815003,0.6545629,0.22693740000000007,20.0
340,120.0,L,0.6522025,0.4556913,0.1965112,21.0
341,120.0,L,0.6935690999999999,0.4809991,0.21256999999999993,22.0
342,120.0,L,0.7107252,0.5005701,0.21015509999999993,23.0
343,120.0,L,0.6726880000000001,0.4646837,0.2080043000000001,24.0
344,120.0,L,0.6603637,0.4768178,0.18354589999999998,25.0
345,120.0,L,0.7106011999999999,0.4951925999999999,0.2154086,26.0
346,120.0,L,0.6266403,0.4519645000000001,0.17467579999999994,27.0
347,120.0,L,0.6855538000000001,0.4625573,0.2229965000000001,28.0
348,120.0,L,0.6704274,0.4696135,0.2008139,29.0
349,120.0,L,0.561369,0.4234218,0.1379472,30.0
350,120.0,L,0.5274962,0.3923454,0.13515079999999996,31.0
351,120.0,L,0.5922553,0.424558,0.16769730000000005,32.0
352,120.0,L,0.5689029000000001,0.4157998,0.1531031000000001,33.0
353,120.0,L,0.7174001,0.4929422000000001,0.22445789999999988,34.0
354,120.0,L,0.7060805,0.4856215,0.22045900000000002,35.0
355,120.0,L,0.6631635,0.4800651,0.1830984,36.0
356,120.0,L,0.6264884000000001,0.442439,0.18404940000000003,37.0
357,120.0,L,0.6078805,0.4504666,0.15741390000000005,38.0
358,120.0,L,0.5321984000000001,0.3846636,0.14753480000000008,39.0
359,120.0,L,0.6201938,0.445,0.1751938,40.0
