,Trial,BPM,GestureSize,MedianVelocityRegionOne,MedianVelocityRegionTwo,RegionOneDistance,RegionTwoDistance,TotalRegionDistance,MaxAngleRegionOne,MaxAngleRegionTwo,MinAngleRegionTwo,TimeDiffRegionOneToPlane,TimeDiffRegionTwoToPlane,TimeEndRegionOne,TimeEndRegionTwo,TimeStartRegionOne,TimeStartRegionTwo,TimeDifferenceBetweenCollisions
68,30.0,100.0,S,0.7283891,0.437667,0.2009878,0.08212040000000004,0.28310820000000003,77.02188000000002,76.74733,70.09406,0.21,0.08999999999999997,0.44,0.56,0.16,0.46,0.49
69,31.0,100.0,S,0.80371,0.5113807,0.2412204,0.10608169999999996,0.34730209999999995,75.94086,76.73869,71.72977,0.23,0.08999999999999997,0.4,0.54,0.1,0.42,0.53
70,32.0,100.0,S,0.7778146,0.458667,0.2157874,0.08208259999999998,0.29787,75.18087,75.0579,70.02271999999999,0.25,0.11,0.38,0.52,0.1,0.42,0.53
71,33.0,100.0,S,0.8062486,0.69098225,0.250165,0.10350889999999996,0.3536739,76.30041999999997,76.63676,70.63127,0.19,0.08999999999999997,0.44,0.54,0.08,0.46,0.55
72,34.0,100.0,S,0.8157076999999999,0.3935735,0.2420735,0.10013209999999992,0.34220559999999994,81.92469,82.49566999999998,79.05025,0.25,0.11,0.36,0.5,0.08,0.38,0.53
73,35.0,100.0,S,0.8228804,0.558619,0.24039120000000005,0.10280699999999997,0.3431982,82.83998000000003,82.7258,77.78407,0.23,0.11,0.4,0.52,0.1,0.42,0.53
74,36.0,100.0,S,0.7616118999999999,0.3716263,0.2388372000000001,0.10445679999999988,0.343294,82.75196,82.82979,79.87814,0.23000000000000004,0.09000000000000008,0.44,0.58,0.18,0.48,0.4900000000000001
75,37.0,100.0,S,0.9317996,0.4977809,0.2472605,0.09965590000000002,0.3469164,85.28256999999998,85.57834,82.57874,0.25,0.11,0.4,0.54,0.18,0.44,0.47
76,38.0,100.0,S,0.7770990500000001,0.4896228,0.2347093,0.10764900000000002,0.3423583,80.45183,80.64902,74.93916,0.21,0.09000000000000008,0.46,0.58,0.16,0.48,0.51
77,39.0,100.0,S,0.7565200999999999,0.4232925500000001,0.2310471,0.1053109,0.336358,80.02526,80.79706,77.53394,0.23000000000000004,0.08999999999999997,0.42,0.56,0.14,0.44,0.51
78,40.0,100.0,S,0.7883017,0.4860816,0.241585,0.08824890000000002,0.3298339,83.60436,83.82566,81.8467,0.23,0.11,0.38,0.5,0.1,0.4,0.51
